Dialogue_ID,Utterance_ID,Emotion,Word_Count,Char_Count,Sentiment_Polarity,Audio_Duration,MFCCs,Utterance,Clean_Utterance
0,0,neutral,9,56,0.0,5.674666666666667,"[-200.79408264160156, 65.95580291748047, 3.0573232173919678, 24.54535484313965, -13.25529670715332, 3.9849774837493896, -9.637240409851074, -5.651867389678955, 1.541529655456543, -2.522049903869629, -4.04277229309082, 1.5126985311508179, -12.226408958435059]",also I was the point person on my companys transition from the KL-5 to GR-6 system.,also point person companys transition kl-5 gr-6 system
0,1,neutral,4,19,0.0,1.472,"[-223.96542358398438, 76.85250091552734, 15.327080726623535, 21.674428939819336, -11.002609252929688, 4.394009113311768, -23.162080764770508, 0.9940703511238098, -8.77724838256836, -0.10731872916221619, -3.8601138591766357, 1.5864840745925903, -3.3194491863250732]",You mustve had your hands full.,mustve hands full
0,3,neutral,6,29,0.0,2.773333333333333,"[-244.4572296142578, 57.01353073120117, 9.164987564086914, 20.553852081298828, -9.851030349731445, 1.082480788230896, -11.982619285583496, -8.714781761169434, -12.065035820007324, 1.5147417783737183, -6.221900463104248, 2.366964340209961, -5.758284568786621]",So lets talk a little bit about your duties.,lets talk little bit duties
0,4,surprise,2,12,0.0,6.485333333333333,"[-185.72329711914062, 87.59825897216797, -46.97193145751953, 6.147914409637451, -21.42207145690918, 2.230879306793213, -13.088340759277344, -12.521952629089355, 1.6104496717453003, -3.0678911209106445, -11.449947357177734, -5.83185338973999, -9.433524131774902]",My duties?  All right.,duties right
0,5,neutral,7,41,0.0,3.2213333333333334,"[-251.8509063720703, 71.70755767822266, 3.9830751419067383, 14.748323440551758, -15.216239929199219, -1.8102235794067383, -17.555992126464844, -2.046936511993408, -11.051518440246582, -6.05745267868042, -4.683764457702637, 2.245598554611206, -9.980310440063477]","Now youll be heading a whole division, so youll have a lot of duties.",youll heading whole division youll lot duties
0,6,neutral,1,3,0.0,3.0933333333333333,"[-214.896240234375, 69.01351928710938, -7.974684238433838, 22.381397247314453, -11.850349426269531, -4.7458624839782715, -20.642053604125977, -5.8029351234436035, -9.354538917541504, -5.06999397277832, -3.645221710205078, -3.9052960872650146, -5.544116973876953]",I see.,see
0,7,neutral,7,41,-0.2836,5.717333333333333,"[-218.3065643310547, 81.40453338623047, -5.856298923492432, 22.024648666381836, -11.851556777954102, -1.9378576278686523, -17.446836471557617, -5.780587196350098, -13.229104995727539, -2.5639591217041016, -5.319611549377441, -3.4236698150634766, -4.276556968688965]",But therell be perhaps 30 people under you so you can dump a certain amount on them.,therell perhaps 30 people dump certain amount
0,8,neutral,2,9,0.4404,0.96,"[-222.73895263671875, 61.282615661621094, -9.233351707458496, 10.128140449523926, -15.616257667541504, 1.6399422883987427, -1.7359005212783813, -8.90453815460205, -3.941912889480591, -7.676909923553467, -11.822619438171387, -6.496433258056641, -2.9183764457702637]",Good to know.,good know
0,9,neutral,2,9,0.0,2.2186666666666666,"[-240.64120483398438, 89.6170883178711, -15.607683181762695, 17.048219680786133, -1.9642364978790283, -2.467588186264038, -13.899638175964355, -6.5766448974609375, -4.665466785430908, -3.1210243701934814, -14.071885108947754, -1.028421401977539, -6.394918918609619]",We can go into detail,go detail
0,10,fear,2,7,-0.3595,2.005333333333333,"[-196.10191345214844, 83.03160095214844, -41.641719818115234, 7.6618876457214355, -14.500605583190918, -6.491030216217041, -15.861990928649902, -10.93313217163086, -3.4609408378601074, 1.1153883934020996, -17.450227737426758, 0.5993822813034058, -8.946601867675781]",No dont I beg of you!,dont beg
